fid,powiat,woj,m,k,aprod,prod,pprod,malzenstwa,przyrost
63,Skierniewice,10,23249,25385,7360,32343,8931,4.5,0.1
64,bełchatowski,10,55563,57542,17205,79223,16677,5.3,1.2
65,kutnowski,10,48295,52112,13003,66693,20711,4.6,-4.8
66,łaski,10,24761,25926,7178,33708,9801,4.9,-2.7
67,łęczycki,10,25218,26455,7290,33677,10706,4.5,-3.7
68,łowicki,10,38970,41359,11850,52630,15849,4.7,-2.4
69,łódzki wschodni,10,33526,36233,10832,46460,12467,4.2,-2
70,opoczyński,10,38650,39407,12755,51435,13867,4.9,-1.6
71,pabianicki,10,56126,63546,16101,77942,25629,4.1,-3.6
72,pajęczański,10,26117,26416,7840,34639,10054,4.4,-2.5
73,piotrkowski,10,45223,46395,15001,59994,16623,4,-1.6
74,poddębicki,10,20678,21193,5988,27416,8467,4.1,-3.9
75,radomszczański,10,56955,59361,16793,76218,23305,4.3,-3.6
76,rawski,10,24505,25072,7636,32879,9062,5.5,-0.1
77,sieradzki,10,58720,61337,17962,79662,22433,4.7,-2.3
78,bialski,6,56187,57149,18475,74303,20558,5,-2
79,biłgorajski,6,50922,52444,15889,68475,19002,4.9,-1.4
80,chełmski,6,39266,40307,12161,53391,14021,4.5,-2.6
81,hrubieszowski,6,32906,34251,9431,44124,13602,5,-4.4
82,janowski,6,23441,23855,7145,30990,9161,5.5,-2.9
83,krasnostawski,6,32361,34198,8865,42834,14860,4.7,-5.4
84,kraśnicki,6,48170,50579,14328,64495,19926,4.5,-2
85,lubartowski,6,44084,45981,14443,59214,16408,4.6,-2.1
86,lubelski,6,73116,76365,24884,99384,25213,4.6,-0.4
87,łęczyński,6,28271,29316,9365,40167,8055,6.1,2.8
88,łukowski,6,54372,54953,19199,71427,18699,5.3,1
89,opolski,6,30263,31540,9283,40545,11975,4.7,-3.5
90,parczewski,6,17828,18216,5388,23579,7077,5.4,-2.7
91,puławski,6,55867,60339,16404,74975,24827,4.3,-2.9
92,radzyński,6,30409,30461,9993,39977,10900,5.6,-1.7
93,rycki,6,28935,29145,8673,38521,10886,5.2,-1.3
94,świdnicki,6,35133,37827,10503,47859,14598,4.7,-0.1
95,tomaszowski,6,42877,44059,12686,57591,16659,5.2,-2.3
96,Biała Podlaska,6,27704,29954,8449,40124,9085,5,1.2
97,włodawski,6,19552,20015,5807,26470,7290,5.4,-2.9
98,zamojski,6,53826,55372,16099,71611,21488,4.8,-3.9
99,Lublin,6,158236,185362,46701,226729,70168,4.3,0.1
100,Chełm,6,30826,34655,8553,44574,12354,4.5,-1.6
101,Zamość,6,30798,34457,8878,44766,11611,4.7,0.3
102,żarski,8,48062,51026,14982,67365,16741,4.7,-1.1
103,wschowski,8,19502,19932,6610,26482,6342,5.4,1
